Investing Report Created: 2023-06-17 07:27:43 -0400

,
﻿,"Split","Date","Type","Security","Symbol","Security/Payee","Description/Category","Shares","Invest Amt","Amount","Account"
﻿,,"5/18/2023","Buy","Small-Mid Cap Index",,"Small-Mid Cap Index","13.561928 shares @ 13.82546788","13.561928","187.50","-187.50","Home Depot 401(k)"
﻿,,"5/18/2023","Buy","International Equity Index",,"International Equity Index","16.035443 shares @ 11.69284815","16.035443","187.50","-187.50","Home Depot 401(k)"
﻿,,"5/18/2023","Payment/Deposit","",,"HOME DEPOT MANAG REG SALARY **** HOME DEPOT MANAG REG SALARY ***********1053","401k",,,"540.00","Home Depot 401(k)"
﻿,,"5/18/2023","Payment/Deposit","",,"HOME DEPOT MANAG REG SALARY **** HOME DEPOT MANAG REG SALARY ***********1053","ESPP",,,"660.00","HD ESPP"
﻿,,"5/18/2023","Payment/Deposit","",,"HOME DEPOT MANAG REG SALARY **** HOME DEPOT MANAG REG SALARY ***********1053","401k",,,"210.00","Home Depot 401(k)"
﻿,,"5/20/2023","Dividend Income","Norfolk Southern","NSC","Norfolk Southern","Investments:Dividend Income",,,"270.00","Fidelity IRA"
﻿,,"5/23/2023","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","18.532 shares @ 11.20008634","18.532","207.56","0.00","Ameritrade IRA"
﻿,,"5/23/2023","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","6.388 shares @ 11.20068879","6.388","71.55","0.00","Jane IRA"
﻿,,"5/31/2023","Interest Income","MMDA1","MMDA1","MMDA1","Investments:Interest Income",,,"0.91","Jane IRA"
﻿,,"5/31/2023","Interest Income","MMDA1","MMDA1","MMDA1","Investments:Interest Income",,,"1.30","Ameritrade IRA"
﻿,,"5/31/2023","Reinvest Dividend","FIDELITY CAPITAL & INCOME","FAGIX","FIDELITY CAPITAL & INCOME","52.94 shares @ 9.14998111","52.94","484.40","0.00","Fidelity IRA"
﻿,,"5/31/2023","Reinvest Dividend","FIDELITY MULTI-ASSET INCOME FUND","FMSDX","FIDELITY MULTI-ASSET INCOME FUND","1.689 shares @ 12.80639432","1.689","21.63","0.00","Fidelity IRA"
﻿,,"5/31/2023","Dividend Income","FIDELITY CASH RESERVES","FDRXX","FIDELITY CASH RESERVES","Investments:Dividend Income",,,"24.20","Fidelity IRA"
﻿,,"6/1/2023","Payment/Deposit","",,"HOME DEPOT MANAG REG SALARY **** HOME DEPOT MANAG REG SALARY ***********1053","401k",,,"540.00","Home Depot 401(k)"
﻿,,"6/1/2023","Payment/Deposit","",,"HOME DEPOT MANAG REG SALARY **** HOME DEPOT MANAG REG SALARY ***********1053","ESPP",,,"660.00","HD ESPP"
﻿,,"6/1/2023","Payment/Deposit","",,"HOME DEPOT MANAG REG SALARY **** HOME DEPOT MANAG REG SALARY ***********1053","401k",,,"210.00","Home Depot 401(k)"
﻿,,"6/1/2023","Dividend Income","INTEL CORP COM","INTC","INTEL CORP COM","Investments:Dividend Income",,,"25.00","Ameritrade IRA"
﻿,,"6/1/2023","Buy","Balanced",,"Balanced","3.567412 shares @ 52.55911008","3.567412","187.50","-187.50","Home Depot 401(k)"
﻿,,"6/1/2023","Buy","Large Cap Index",,"Large Cap Index","1.731061 shares @ 108.31507382","1.731061","187.50","-187.50","Home Depot 401(k)"
﻿,,"6/1/2023","Buy","Small-Mid Cap Index",,"Small-Mid Cap Index","13.567113 shares @ 13.82018415","13.567113","187.50","-187.50","Home Depot 401(k)"
﻿,,"6/1/2023","Buy","International Equity Index",,"International Equity Index","16.30314 shares @ 11.50085198","16.30314","187.50","-187.50","Home Depot 401(k)"
﻿,,"6/1/2023","Dividend Income","INTEL CORP COM","INTC","INTEL CORP COM","Investments:Dividend Income",,,"25.00","Fidelity IRA"
﻿,,"6/6/2023","Dividend Income","JOHNSON & JOHNSON COM","JNJ","JOHNSON & JOHNSON COM","Investments:Dividend Income",,,"119.00","Jane IRA"
﻿,,"6/6/2023","Dividend Income","SOUTHERN CO","SO","SOUTHERN CO","Investments:Dividend Income",,,"297.50","Ameritrade IRA"
﻿,,"6/8/2023","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"68.00","Jane IRA"
﻿,,"6/8/2023","Reinvest Dividend","Jensen Quality Growth Fund Cl J","JENSX","Jensen Quality Growth Fund Cl J","0.413 shares @ 58.28087167","0.413","24.07","0.00","Ameritrade IRA"
﻿,,"6/8/2023","Dividend Income","NESTLE SA REG SHARES S (PC)","NSRGY","NESTLE SA REG SHARES S (PC)","Investments:Dividend Income",,,"-49.66","Ameritrade IRA"
﻿,,"6/8/2023","Dividend Income","NESTLE SA REG SHARES S (PC)","NSRGY","NESTLE SA REG SHARES S (PC)","Investments:Dividend Income",,,"-2.75","Ameritrade IRA"
﻿,,"6/8/2023","Dividend Income","NESTLE SA REG SHARES S (PC)","NSRGY","NESTLE SA REG SHARES S (PC)","Investments:Dividend Income",,,"331.04","Ameritrade IRA"
﻿,,"6/8/2023","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"68.00","Ameritrade IRA"
﻿,,"6/9/2023","Dividend Income","PFIZER INC COM","PFE","PFIZER INC COM","Investments:Dividend Income",,,"41.00","Jane IRA"
﻿,,"6/9/2023","Dividend Income","EMERSON ELEC CO COM","EMR","EMERSON ELEC CO COM","Investments:Dividend Income",,,"52.00","Ameritrade IRA"
﻿,,"6/12/2023","Buy","FIDELITY MULTI-ASSET INCOME FUND","FMSDX","FIDELITY MULTI-ASSET INCOME FUND","385.208 shares @ 12.98000042","385.208","5,000.00","-5,000.00","Fidelity IRA"
﻿,,"6/12/2023","Dividend Income","3M Corp (MMM)","MMM","3M Corp (MMM)","Investments:Dividend Income",,,"150.00","Fidelity IRA"
﻿,,"6/15/2023","Payment/Deposit","",,"HOME DEPOT MANAG REG SALARY **** HOME DEPOT MANAG REG SALARY ***********1053","401k",,,"540.00","Home Depot 401(k)"
﻿,,"6/15/2023","Payment/Deposit","",,"HOME DEPOT MANAG REG SALARY **** HOME DEPOT MANAG REG SALARY ***********1053","ESPP",,,"660.00","HD ESPP"
﻿,,"6/15/2023","Payment/Deposit","",,"HOME DEPOT MANAG REG SALARY **** HOME DEPOT MANAG REG SALARY ***********1053","401k",,,"210.00","Home Depot 401(k)"
﻿,,"6/15/2023","Dividend Income","Home Depot","HD","Home Depot","Investments:Dividend Income",,,"403.37","HD ML Individual Account"
﻿,,"6/15/2023","Dividend Income","CSX Corp","CSX","CSX Corp","Investments:Dividend Income",,,"22.00","Ameritrade IRA"
﻿,,"6/15/2023","Buy","Balanced",,"Balanced","3.463288 shares @ 54.13930346","3.463288","187.50","-187.50","Home Depot 401(k)"
﻿,,"6/15/2023","Buy","Large Cap Index",,"Large Cap Index","1.649817 shares @ 113.64896834","1.649817","187.50","-187.50","Home Depot 401(k)"
﻿,,"6/15/2023","Buy","Small-Mid Cap Index",,"Small-Mid Cap Index","12.680633 shares @ 14.7863281","12.680633","187.50","-187.50","Home Depot 401(k)"
﻿,,"6/15/2023","Buy","International Equity Index",,"International Equity Index","15.547054 shares @ 12.06016265","15.547054","187.50","-187.50","Home Depot 401(k)"
﻿,,"6/15/2023","Dividend Income","CSX Corp","CSX","CSX Corp","Investments:Dividend Income",,,"165.00","Fidelity IRA"
﻿,,"6/16/2023","Reinvest Dividend","Home Depot","HD","Home Depot","1.35 shares @ 302.96296296","1.35","409.00","0.00","HD ESPP"
﻿,,"6/21/2023","Payment/Deposit","",,,"Transfer:[USAA CLASSIC CHECKING]",,,"-403.37","HD ML Individual Account"
﻿,,"6/29/2023","Payment/Deposit","",,"HOME DEPOT MANAG REG SALARY **** HOME DEPOT MANAG REG SALARY ***********1053","401k",,,"540.00","Home Depot 401(k)"
﻿,,"6/29/2023","Payment/Deposit","",,"HOME DEPOT MANAG REG SALARY **** HOME DEPOT MANAG REG SALARY ***********1053","ESPP",,,"660.00","HD ESPP"
﻿,,"6/29/2023","Payment/Deposit","",,"HOME DEPOT MANAG REG SALARY **** HOME DEPOT MANAG REG SALARY ***********1053","401k",,,"210.00","Home Depot 401(k)"
